OBJECTID,Angle
1224704,40.70261334
1224705,40.70261334
1224706,40.70261334
1224707,40.70261334
1224708,40.70261334
1224709,40.70261334
1224710,40.70261334
1224711,40.70261334
1224712,35.7066914
1224713,37.20792192
1224722,41.2570117
1224727,41.2570117
1224731,41.2570117
1224738,41.2570117
1224745,41.2570117
1224753,41.2570117
1224758,41.2570117
1224759,41.2570117
1224767,41.2570117
1224773,41.2570117
1224774,41.2570117
1224785,41.2570117
1224787,41.2570117
1224791,30.17352003
1224798,30.17352003
1224803,30.17352003
1224805,30.17352003
1224807,30.17352003
1224808,30.17352003
1224813,30.17352003
1224816,40.70261334
1224820,40.70261334
1224828,40.70261334
1224829,40.70261334
1224833,40.70261334
1224851,-51.80905018
1224852,-51.80905018
1224858,-51.80905018
1224863,-51.80905018
1224865,-51.80905018
1224876,48.12213047
1224889,48.12213047
1224890,30.17352003
1224915,-57.26477373
1224929,-57.26477373
1224938,-57.26477373
1224939,-57.26477373
1224941,-57.26477373
1224949,40.70261334
1224953,40.70261334
1224954,40.70261334
1224956,40.70261334
1224957,40.70261334
1224958,40.70261334
1224959,40.70261334
1224960,40.70261334
1224961,40.70261334
1224969,40.70261334
1224970,40.70261334
1224972,40.70261334
1224977,40.70261334
1224978,40.70261334
1224979,40.70261334
1224981,40.70261334
1224982,40.70261334
1224983,40.70261334
1224985,40.70261334
1224986,40.70261334
1224987,40.70261334
1224995,40.70261334
1224998,40.70261334
1225003,40.70261334
1225008,40.70261334
1225009,40.70261334
1225010,40.70261334
1225011,40.70261334
1225014,40.70261334
1225015,40.70261334
1225016,40.70261334
1225020,40.70261334
1225021,40.70261334
1225024,40.23635831
1225026,40.23635831
1225034,40.23635831
1225035,40.23635831
1225036,40.23635831
1225038,40.23635831
1225039,40.23635831
1225040,40.23635831
1225048,40.23635831
1225055,40.23635831
1225056,40.23635831
1225065,40.23635831
1225068,40.23635831
1225069,40.23635831
1225070,40.23635831
1225072,40.23635831
1225074,40.23635831
1225076,40.23635831
1225077,40.23635831
1225084,40.23635831
1225085,12.6525565
1225087,12.6525565
1225088,12.6525565
1225089,12.6525565
1225095,12.6525565
1225097,12.6525565
1225098,12.69958449
1225099,37.92646233
1225103,37.92646233
1225107,37.92646233
1225108,37.92646233
1225113,37.92646233
1225124,40.70261334
1225129,35.75388725
1225130,35.75388725
1225131,35.75388725
1225134,36.13537661
1225135,35.75388725
1225136,35.75388725
1225142,35.75388725
1225147,35.75388725
1225148,35.75388725
1225151,35.75388725
1225155,35.75388725
1225163,35.75388725
