Address,City,State,Zip,Store Type
2510 Chemical Rd,PLYMOUTH MEETING,PA,19462,"Gap, GapBody, GapKids"
100 PREMIUM OUTLETS DRIVE,BLACKWOOD,NJ,08012,Gap Outlet
132 E Lancaster Ave,WAYNE,PA,19087,"Gap, GapKids, babyGap"
350 MALL BLVD,KING OF PRUSSIA,PA,19406,"Gap, GapBody, GapKids"
160 N. GULPH ROAD,KING OF PRUSSIA,PA,19406,"GapKids, babyGap"
605 WILMINGTON WESTCHESTER PIKE,GLEN MILLS,PA,19342,"Gap, GapKids, babyGap"
336 EXTON SQUARE PKWY,EXTON,PA,19341,"GapKids, babyGap"
154 E LINCOLN HWY,EXTON,PA,19341,"Gap, GapBody"
18 WEST LIGHTCAP ROAD,LIMERICK,PA,19464,Gap Outlet
458 CHRISTIANA MALL,NEWARK,DE,19702,"Gap, GapKids, babyGap"
140 LEHIGH VALLEY MALL,WHITEHALL,PA,18052,"Gap, GapBody, GapKids, babyGap"
1665 State Hill Road,READING,PA,19610,"Gap, GapKids"
1002 STANLEY K TANGER BLVD,LANCASTER,PA,17602,Gap Outlet
102 N MICHIGAN AVE,ATLANTIC CITY,NJ,08401,Gap Outlet
555 PARK CITY CTR,LANCASTER,PA,17601,"Gap, GapKids, babyGap"
39 OUTLET SQUARE,HERSHEY,PA,17033,Gap Outlet
825 Dulaney Valley Road,TOWSON,MD,21204,"Gap, GapBody, GapKids, babyGap"
36461 SEASIDE OUTLET DR,REHOBOTH BEACH,DE,19971,Gap Outlet
424 OUTLET CENTER DR,QUEENSTOWN,MD,21658,Gap Outlet
200 East Pratt Street,BALTIMORE,MD,21202,"Gap, GapKids"
5000 S ARIZONA MILLS CIR,TEMPE,AZ,85282,Gap Outlet
7014 East Camelback Road,SCOTTSDALE,AZ,85251,"Gap, GapBody, GapKids, babyGap"
6800 N 95 AVE,GLENDALE,AZ,85305,Gap Outlet
4976 PREMIUM OUTLETS WAY,CHANDLER,AZ,85226,Gap Outlet
15729 NORTH SCOTTSDALE ROAD,SCOTTSDALE,AZ,85254,"Gap, GapBody"
15279 North Scottsdale Road,SCOTTSDALE,AZ,85254,"Gap, GapBody, GapKids, babyGap"
4250 W ANTHEM WAY,PHOENIX,AZ,85086,Gap Outlet
6401 WEST MARANA CENTER BLVD,TUCSON,AZ,85742,Gap Outlet
7322 Jones Maltsberger Road #114,SAN ANTONIO,TX,78209,"Gap, GapBody, GapKids, babyGap"
148 NORTH STAR MALL,SAN ANTONIO,TX,78216,"Gap, GapBody, GapKids"
11745 IH 10 WEST,SAN ANTONIO,TX,78230,"Gap, GapKids"
15900 La Cantera Parkway,SAN ANTONIO,TX,78256,"Gap, GapBody, GapKids, babyGap"
3939 S INTERSTATE HWY 35,SAN MARCOS,TX,78666,Gap Outlet
2901 S CAPITAL OF TEXAS HWY,AUSTIN,TX,78746,"Gap, GapBody, GapKids, babyGap"
4001 N LAMAR BLVD.,AUSTIN,TX,78756,"Gap, GapBody, GapKids, babyGap"
10000 RESEARCH BLVD,AUSTIN,TX,78759,"GapKids, babyGap"
10000 Research Boulevard,AUSTIN,TX,78759,Gap
324 Horton Plz,SAN DIEGO,CA,92101,"Gap, GapBody, GapKids, babyGap"
7007 Friars Road,SAN DIEGO,CA,92108,"Gap, GapBody, GapKids, babyGap"
4505 La Jolla Village Dr,SAN DIEGO,CA,92122,"Gap, GapBody, GapKids, babyGap"
4265 Camino De La Plaza,SAN YSIDRO,CA,92173,Gap Outlet
5003 Willows Road,ALPINE,CA,91901,Gap Outlet
3699 McKinney Avenue,DALLAS,TX,75204,"Gap, GapBody, GapKids, babyGap"
5331 E. Mockingbird Lane,DALLAS,TX,75206,"Gap, GapBody, GapKids, babyGap"
5350 W LOVERS LN,DALLAS,TX,75209,"Gap, GapKids, babyGap"
728 NORTHPARK CENTER,DALLAS,TX,75225,"Gap, GapBody, GapKids, babyGap"
10720 PRESTON RD,DALLAS,TX,75230,"Gap, GapBody, GapKids, babyGap"
13250 Dallas Parkway,DALLAS,TX,75240,"Gap, GapBody, GapKids, babyGap"
7601 North MacArthur Blvd.,IRVING,TX,75063,"Gap, GapBody, GapKids"
2950 W. INTERSTATE 20,GRAND PRAIRIE,TX,75052,Gap Outlet
1900 Preston Rd.,PLANO,TX,75093,"Gap, GapBody, GapKids, babyGap"
1500 North Collins Street,ARLINGTON,TX,76011,"Gap, GapBody, GapKids"
3000 GRAPEVINE MILLS PARKWAY,GRAPEVINE,TX,76051,Gap Outlet
2601 Preston Rd,FRISCO,TX,75034,"Gap, GapBody, GapKids, babyGap"
167 Grand Avenue,SOUTHLAKE,TX,76092,"Gap, GapBody, GapKids"
1101 MELBOURNE RD,HURST,TX,76053,"Gap, GapBody, GapKids, babyGap"
820 W. STACY ROAD,ALLEN,TX,75013,Gap Outlet
820 WEST STACY ROAD,ALLEN,TX,75013,Gap Outlet
301 Tanger Drive,TERRELL,TX,75160,Gap Outlet
1540 SOUTH UNIVERSITY DRIVE,FORT WORTH,TX,76107,"Gap, GapBody, GapKids"
104 I-35 HWY NE,HILLSBORO,TX,76645,Gap Outlet
2432 W. LOOP 340,WACO,TX,76711,"Gap, GapBody, GapKids, babyGap"
2855 STEVENS CREEK BLVD,SANTA CLARA,CA,95050,"Gap, GapBody, GapMaternity, GapKids, babyGap"
271 GREAT MALL DRIVE,MILPITAS,CA,95035,Gap Outlet
1600 SARATOGA AVE,SAN JOSE,CA,95129,Gap Outlet
35 University Avenue,LOS GATOS,CA,95030,"Gap, GapBody, GapKids, babyGap"
165 STANFORD SHOPPING CTR,PALO ALTO,CA,94304,"Gap, GapBody"
228 STANFORD SHOPPING CTR,PALO ALTO,CA,94304,"GapKids, babyGap"
3002 LIVERMORE OUTLETS DRIVE,LIVERMORE,CA,94551,Gap Outlet
2133 STONERIDGE MALL RD,PLEASANTON,CA,94588,"Gap, GapBody, GapKids, babyGap"
1225 Pacific Ave,SANTA CRUZ,CA,95060,"Gap, GapBody, GapKids, babyGap"
437 Hillsdale Mall,SAN MATEO,CA,94403,"Gap, GapBody, GapKids, babyGap"
8555 SAN YSIDRO AVE,GILROY,CA,95020,Gap Outlet
1259 MARINA BLVD.,SAN LEANDRO,CA,94577,Gap Outlet
1294 Burlingame Ave,BURLINGAME,CA,94010,Gap
1390 Burlingame Ave,BURLINGAME,CA,94010,babyGap
3277 Lakeshore Ave,OAKLAND,CA,94610,"Gap, GapKids, babyGap"
51 BROADWAY PLAZA,WALNUT CREEK,CA,94596,"Gap, GapBody, GapKids, babyGap"
5690 Bay St,EMERYVILLE,CA,94608,"Gap, GapBody, GapKids, babyGap"
890 Market St,SAN FRANCISCO,CA,94102,"Gap, GapBody, GapKids, babyGap"
3251 20TH AVE,SAN FRANCISCO,CA,94132,"Gap, GapBody, GapKids, babyGap"
3 EMBARCADERO CTR,SAN FRANCISCO,CA,94111,"Gap, GapBody, GapKids, babyGap"
3491 California St,SAN FRANCISCO,CA,94118,"GapKids, babyGap"
2159 Chestnut St,SAN FRANCISCO,CA,94123,"Gap, GapKids, babyGap"
2040 Chestnut St,SAN FRANCISCO,CA,94123,GapBody
2169 Chestnut St,SAN FRANCISCO,CA,94123,babyGap
315 Sun Valley Mall,CONCORD,CA,94520,"Gap, GapKids, babyGap"
3401 Dale Road,MODESTO,CA,95356,"Gap, GapBody, GapKids, babyGap"
615 DEL MONTE CENTER,MONTEREY,CA,93940,"Gap, GapBody, GapKids, babyGap"
1554 Redwood Highway,CORTE MADERA,CA,94925,"Gap, GapBody, GapKids, babyGap"
629 FACTORY STORES DRIVE,NAPA,CA,94558,Gap Outlet
121-A Nut Tree Road,VACAVILLE,CA,95687,Gap Outlet
2200 Petaluma Blvd. North,PETALUMA,CA,94952,Gap Outlet
500 1ST ST,DAVIS,CA,95616,"Gap, GapBody, GapKids, babyGap"
1689 Arden Way,SACRAMENTO,CA,95815,"GapKids, babyGap"
1689 Arden Way,SACRAMENTO,CA,95815,Gap
13000 Folsom Blvd,FOLSOM,CA,95630,Gap Outlet
4401 North Interstate Highgway 35,ROUND ROCK,TX,78664,Gap Outlet
4711 River City Drive,JACKSONVILLE,FL,32246,"Gap, GapBody"
4712 River City Drive,JACKSONVILLE,FL,32246,GapKids
2700 STATE ROAD 16,ST AUGUSTINE,FL,32092,Gap Outlet
6655 W NEWBERRY RD,GAINESVILLE,FL,32605,"Gap, GapKids"
GAP OUTLET,DAYTONA BEACH,FL,32117,Gap Outlet
1151 Galleria Blvd,ROSEVILLE,CA,95678,"GapKids, babyGap"
1151 Galleria Blvd,ROSEVILLE,CA,95678,"Gap, GapBody"
8702 Keystone Crossing,INDIANAPOLIS,IN,46240,"Gap, GapBody"
8702 Keystone Crossing,INDIANAPOLIS,IN,46240,"Gap, GapKids, babyGap"
6020 East 82nd Street,INDIANAPOLIS,IN,46250,"Gap, GapBody, GapKids"
11606 N/E Executive Drive,EDINBURGH,IN,46124,Gap Outlet
2050 Global Way,HEBRON,KY,41048,
4000 EASTON STA,COLUMBUS,OH,43219,"Gap, GapKids, babyGap"
5043 Tuttle Crossing Blvd.,DUBLIN,OH,43016,Gap
1500 Polaris Parkway,COLUMBUS,OH,43240,"Gap, GapBody, GapKids, babyGap"
400 SOUTH WILSON ROAD,SUNBURY,OH,43074,Gap Outlet
8000 Factory Shops Blvd.,JEFFERSONVILLE,OH,43128,Gap Outlet
4403 Juniper Way,BEAVERCREEK,OH,45440,"Gap, GapBody, GapKids, babyGap"
131 PREMIUM OUTLET DRIVE,MONROE,OH,45050,Gap Outlet
7590 SLOAN WAY,LIBERTY TOWNSHIP,OH,45069,"Gap, GapKids, babyGap"
9913 Avon Lake Rd,BURBANK,OH,44214,Gap Outlet
2659 EDMONDSON RD,CINCINNATI,OH,45209,"Gap, GapBody, GapKids, babyGap"
4400 SHARON RD,CHARLOTTE,NC,28211,"Gap, GapKids, babyGap"
5416 NEW FASHION WAY,CHARLOTTE,NC,28278,Gap Outlet
8022 Providence Road,CHARLOTTE,NC,28277,"Gap, GapBody, GapKids, babyGap"
8111 Concord Mills Blvd.,CONCORD,NC,28027,Gap Outlet
8701 Townley Road,HUNTERSVILLE,NC,28078,"Gap, GapKids"
240 FACTORY SHOPS BLVD.,GAFFNEY,SC,29341,Gap Outlet
3320 Silas Creek Parkway,WINSTON SALEM,NC,27103,"Gap, GapBody, GapKids, babyGap"
200 SHOPPES ON THE PARKWAY RD,BLOWING ROCK,NC,28605,Gap Outlet
100 COLUMBIANA CIR,COLUMBIA,SC,29212,"Gap, GapBody, GapKids, babyGap"
801C FRIENDLY CENTER RD,GREENSBORO,NC,27408,"GapKids, babyGap"
700 HAYWOOD ROAD,GREENVILLE,SC,29607,"Gap, GapKids, babyGap"
1530 5th Ave,SEATTLE,WA,98101,"Gap, GapBody, GapKids, babyGap"
