OBJECTID,Id,St_label,Labelside,Address,Numberreal,Occupantre,Dm,DetailCat,StreetName,Angle,Direction
21818,106602,14th Street,R,345 WEST 14 STREET,345,Sorel,3/4/2015,Accessories,W 14th St,-67.08906274,N
21819,106603,14th Street,,314 WEST 14 STREET,314,Delete,9/7/2010,,W 14th St,-67.08906274,
21820,106604,14th Street,L,324 WEST 14 STREET,324,Lab Corp,12/3/2013,Other,W 14th St,-67.08906274,S
21821,106605,14th Street,L,330 WEST 14 STREET,330-34,St. Bernard Church,9/16/2013,Landmark,W 14th St,-67.08906274,S
21822,106606,14th Street,L,418 WEST 14 STREET,414,Patagonia,7/31/2012,Sporting Goods,W 14th St,-67.26058222,S
21823,106607,14th Street,L,426 WEST 14 STREET,426,Vacant (Available),6/12/2012,Vacant,W 14th St,-67.26058222,S
21824,106608,14th Street,,450 WEST 14 STREET,450,delete,11/3/2015,,,13.57043438,
21825,106609,14th Street,L,450 WEST 14 STREET,452,Vacant (Available),11/3/2015,Vacant,,13.57043438,W
21826,106610,14th Street,,345 WEST 14 STREET,349,Delete,9/16/2013,,W 14th St,-67.08906274,
21827,106611,14th Street,L,344 WEST 14 STREET,344,Vacant (Available),12/1/2016,Available,W 14th St,-67.08906274,S
21828,106612,14th Street,R,313 WEST 14 STREET,313,Residential,,Residential,W 14th St,-67.08906274,N
21829,106613,14th Street,L,316 WEST 14 STREET,316,Perfect Brows NYC,10/21/2011,Salon/Spa,W 14th St,-67.08906274,S
21830,106614,Bleeker Street,L,281 AVENUE OF THE AMER,226,sweetgreen,8/22/2016,Quick Service Restaurant,Bleecker St,-27.3238913,S
21831,106615,Bleeker Street,L,228 BLEECKER STREET,228,AT&T Wireless,6/5/2013,Electronics,Bleecker St,-27.3238913,S
21832,106616,Bleeker Street,L,228 BLEECKER STREET,228,Molly's Cupcakes,11/8/2011,Caf??,Bleecker St,-27.3238913,S
21833,106617,Bleeker Street,L,228 BLEECKER STREET,232,Trattoria Spaghetto,,Salon/Spa,Carmine St,71.79608129,W
21834,106618,Bleeker Street,,240 BLEECKER STREET,240,Delete,10/25/2010,,Bleecker St,-29.63838369,
