Address,City,State,Zip,Store Type
559 ASSEMBLY ROW,SOMERVILLE,MA,02145,Factory Store
199 BOYLSTON ST,CHESTNUT HILL,MA,02467,Petites
250 GRANITE ST,BRAINTREE,MA,02184,
950 PROVIDENCE HIGHWAY,DEDHAM,MA,02026,
1515 Market Street,LYNNFIELD,MA,01940,
75 MIDDLESEX TURNPIKE,BURLINGTON,MA,01803,
210 ANDOVER ST,PEABODY,MA,01960,
94 DERBY ST,HINGHAM,MA,02043,Petites
1245 Worcester Rd.,NATICK,MA,01760,"Shoes, Petites"
1 PREMIUM OUTLET BLVD,WRENTHAM,MA,02093,"Factory Store, Petites"
99 Rockingham Park Blvd,SALEM,NH,03079,
310 Daniel Webster Hwy,NASHUA,NH,03060,
70 WORCESTER,MILLBURY,MA,01527,Factory Store
21 PROVIDENCE PLACE,PROVIDENCE,RI,02903,"Shoes, Petites"
80 PREMIUM OUTLETS BLVD,MERRIMACK,NH,03054,Factory Store
16 MIDWAY RD,CRANSTON,RI,02920,
325 US ROUTE 1,KITTERY,ME,03904,"Factory Store, Petites"
124 THAMES STREET,NEWPORT,RI,02840,
769 Iyannough Road,HYANNIS,MA,02601,Shoes
455 TROLLEY LINE BLVD.,MASHANTUCKET,CT,06338,Factory Store
120 LACONIA RD,TILTON,NH,03276,"Factory Store, Petites"
300 EVERGREEN WAY,SOUTH WINDSOR,CT,06074,
364 MAINE MALL ROAD,SOUTH PORTLAND,ME,04106,
2126 ABBOTT MARTIN RD.,NASHVILLE,TN,37215,
240 Opry Mills Dr,NASHVILLE,TN,37214,Factory Store
1800 GALLERIA BLVD,FRANKLIN,TN,37067,"Shoes, Petites"
1901 NW EXPRESSWAY ST,OKLAHOMA CITY,OK,73118,Shoes
"7630 WEST RENO AVE, SPACE # 260",OKLAHOMA CITY,OK,73127,Factory Store
710 SW Yamhill St,PORTLAND,OR,97205,"Shoes, Petites"
9959 NE CASCADES PARKWAY,PORTLAND,OR,97220,Factory Store
7345 SW Bridgeport Road,TIGARD,OR,97224,
2070 NW ALLIE AVENUE,HILLSBORO,OR,97124,
1001 N ARNEY RD,WOODBURN,OR,97071,"Factory Store, Petites"
605 GRAND CENTRAL PARKWAY,LAS VEGAS,NV,89106,"Factory Store, Petites"
3200 Las Vegas Blvd,LAS VEGAS,NV,89109,
3377 LAS VEGAS BLVD S,LAS VEGAS,NV,89109,"Shoes, Petites"
6671 LAS VEGAS BLVD,LAS VEGAS,NV,89119,Petites
7400 LAS VEGAS BLVD. SOUTH,LAS VEGAS,NV,89123,Factory Store
1875 FESTIVAL PLAZA DRIVE,LAS VEGAS,NV,89135,
32100 LAS VEGAS BLVD S,PRIMM,NV,89019,"Factory Store, Petites"
7900 SHELBYVILLE ROAD,LOUISVILLE,KY,40222,
4226 SUMMIT PLAZA DR,LOUISVILLE,KY,40241,Shoes
1155 BUCK CREEK ROAD,SIMPSONVILLE,KY,40067,Factory Store
3401 NICHOLASVILLE ROAD,LEXINGTON,KY,40503,"Shoes, Petites"
622 West Linmar Lane,JOHNSON CREEK,WI,53038,Factory Store
4301 W WISCONSIN AVE,APPLETON,WI,54913,Shoes
2240 Q STREET,ALBUQUERQUE,NM,87110,
5870 EAST BROADWAY BLVD.,TUCSON,AZ,85711,"Shoes, Petites"
4500 N ORACLE RD,TUCSON,AZ,85705,Shoes
742 WEST SHAW AVENUE,FRESNO,CA,93704,Petites
1743 RETHERFORD STREET,TULARE,CA,93274,Factory Store
1813 VILLAGE WEST PARK,KANSAS CITY,KS,66111,Factory Store
450 W. 47th Street,KANSAS CITY,MO,64112,"Shoes, Petites"
11591 West 95th St.,OVERLAND PARK,KS,66214,
4852 W 119TH ST,LEAWOOD,KS,66209,Shoes
260 18th Street,ATLANTA,GA,30363,
"3393 PEACHTREE RD, NE",ATLANTA,GA,30326,"Shoes, Petites"
4300 PACES FERRY RD SE,ATLANTA,GA,30339,Petites
4400 ASHFORD DUNWOODY RD NE,ATLANTA,GA,30346,Petites
4475 ROSWELL ROAD,MARIETTA,GA,30062,"Shoes, Petites"
5145 PEACHTREE PARKWAY,NORCROSS,GA,30092,
3225 DALLAS HIGHWAY,MARIETTA,GA,30063,Petites
6110 AVALON BLVD,ALPHARETTA,GA,30009,
915 RIDGEWALK PKY,WOODSTOCK,GA,30188,Factory Store
220 City Circle,PEACHTREE CITY,GA,30269,Shoes
1000 TANGER DRIVE,LOCUST GROVE,GA,30248,Factory Store
800 Highway 400 South,DAWSONVILLE,GA,30534,"Factory Store, Petites"
1791 OCONEE CONNECTOR,ATHENS,GA,30606,Factory Store
800 STEVEN B TANGER BLVD,COMMERCE,GA,30529,Factory Store
2100 HAMILTON PLACE BLVD.,CHATTANOOGA,TN,37421,
701 LYNNHAVEN PARKWAY,VIRGINIA BEACH,VA,23452,"Shoes, Petites"
1600 PREMIUM OUTLETS BLVD,NORFOLK,VA,23502,Factory Store
300 MONTICELLO AVENUE,NORFOLK,VA,23510,
5707-6 RICHMOND ROAD,WILLIAMSBURG,VA,23188,"Factory Store, Petites"
7100 S. CROATAN HWY,NAGS HEAD,NC,27959,Factory Store
17151 DAVENPORT ST,OMAHA,NE,68118,
21355 NEBRASKA CROSSING DRIVE,GRETNA,NE,68028,Factory Store
2940 PINE LAKE ROAD,LINCOLN,NE,68516,
4325 GLENWOOD AVE,RALEIGH,NC,27612,
6910 Fayetteville Road,DURHAM,NC,27713,"Shoes, Petites"
1025 OUTLET CENTER DRIVE,SMITHFIELD,NC,27577,"Factory Store, Petites"
4000 ARROWHEAD ROAD,MEBANE,NC,27302,Factory Store
1100 LINCOLN ROAD,MIAMI BEACH,FL,33139,Shoes
800 COLLINS AVENUE,MIAMI BEACH,FL,33139,Shoes
350 SAN LORENZO AVENUE,CORAL GABLES,FL,33146,Petites
5701 Sunset Dr,SOUTH MIAMI,FL,33143,Shoes
7535 N KENDALL DR,MIAMI,FL,33156,"Shoes, Petites"
11401 NW 12TH ST.,MIAMI,FL,33172,"Factory Store, Petites"
19501 Biscayne Boulevard,AVENTURA,FL,33180,"Shoes, Petites"
14561 SW 5TH STREET,PEMBROKE PINES,FL,33326,"Shoes, Petites"
2584 EAST SUNRISE BLVD,FT LAUDERDALE,FL,33304,Shoes
12801 West Sunrise Blvd.,SUNRISE,FL,33323,"Factory Store, Petites"
6000 GLADES RD,BOCA RATON,FL,33431,Petites
10300 West Forest Hill Blvd,WELLINGTON,FL,33414,
1755 PALM BEACH LAKES BLVD,WEST PALM BEACH,FL,33401,Factory Store
3101 PGA Blvd.,PALM BEACH GARDENS,FL,33410,"Shoes, Petites"
80 S 8th St,MINNEAPOLIS,MN,55402,
1595 Highway 36 W,ROSEVILLE,MN,55113,"Shoes, Petites"
